SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
809,201to216,GQ390228.1.1437,EU800657.1.1249,NA,co,GQ390228.1.1437 (co) EU800657.1.1249,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
811,215to216,AY752119.1.1395,EU800657.1.1249,NA,co,AY752119.1.1395 (co) EU800657.1.1249,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
815,35to184,FJ612159.1.1423,EU117671.1.1506,NA,co,FJ612159.1.1423 (co) EU117671.1.1506,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
820,35to198,FJ612159.1.1423,HM129990.1.1435,NA,co,FJ612159.1.1423 (co) HM129990.1.1435,NA,Planktophila,NA,Planktophila,NA,Actinobacteria,Actinobacteria,NA,NA
813,35to123,FJ612159.1.1423,JN868881.1.1534,NA,co,FJ612159.1.1423 (co) JN868881.1.1534,NA,Planktophila,NA,Rhodocyclaceae,NA,Actinobacteria,Proteobacteria,NA,NA
1000,123to130,JN868881.1.1534,AY509418.1.1326,NA,co,JN868881.1.1534 (co) AY509418.1.1326,NA,Rhodocyclaceae,NA,Acetobacteraceae,NA,Proteobacteria,Proteobacteria,NA,NA
1002,123to184,JN868881.1.1534,EU117671.1.1506,NA,co,JN868881.1.1534 (co) EU117671.1.1506,NA,Rhodocyclaceae,NA,Planktophila,NA,Proteobacteria,Actinobacteria,NA,NA
1004,123to228,JN868881.1.1534,GQ130152.1.1440,NA,co,JN868881.1.1534 (co) GQ130152.1.1440,NA,Rhodocyclaceae,NA,Synechococcus,NA,Proteobacteria,Cyanobacteria,NA,NA
1008,24to113,AB661539.1.1411,EU800360.1.1446,NA,me,AB661539.1.1411 (me) EU800360.1.1446,NA,Stramenopiles,NA,CaFonsibacter,NA,Cyanobacteria-chloroplast,Proteobacteria,NA,NA
1012,24to228,AB661539.1.1411,GQ130152.1.1440,NA,me,AB661539.1.1411 (me) GQ130152.1.1440,NA,Stramenopiles,NA,Synechococcus,NA,Cyanobacteria-chloroplast,Cyanobacteria,NA,NA
