#OTU ID	erken.28	erken.88	erken.79	erken.68	erken.38	erken.85	erken.57	erken.71	erken.42	erken.6	erken.55	erken.69	erken.97	erken.61	erken.60	erken.56	erken.45	erken.64	erken.43	erken.34	erken.23	erken.44	erken.16	erken.5	erken.82	erken.26
HQ178879.1.1433	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0
GQ059663.1.1344	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HQ111526.1.1402	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR667253.1.1384	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR772057.1.1466	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	308	0	0	0	0	0	0	19	0	0	0
HM481364.1.1461	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0
JX304649.1.1325	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	77	92	0	0	0	56	49	0	0
HM186088.1.1298	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
JN020180.1.1372	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
JF697432.1.1492	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	1	1	0
AF321036.1.1344	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HM638233.1.1390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	1	0	0	0
AY212596.1.1287	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	2	0	0	0	1	0	0	0	0
JX223188.1.1364	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2
GACN01029607.149.2074	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FM204983.1.1452	0	0	0	0	0	0	7	37	0	0	0	0	0	276	23	1	43	0	0	0	0	7	15	106	39	0
AB252076.1.1805	0	0	0	0	0	0	0	3	0	0	0	0	0	1	2	0	5	0	0	0	0	1	1	1	1	0
AY250093.1.1455	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	4	0	0	0	0	1	1	1	2	0
HG917444.1.1444	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	3	0	0	0	0	1	0	1	0
HQ178852.1.1434	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FR774626.1.1366	0	0	0	0	0	0	10	34	0	1	0	0	0	20	21	0	34	0	0	0	0	8	13	8	44	0
KT350432.1.1533	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FJ382067.1.1235	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
JQ923537.1.1499	0	0	0	0	0	0	3	0	0	0	0	0	0	9	2	0	4	0	0	0	0	1	1	6	0	0
AB991243.1.1460	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	9	0	0	0	0	0	345	20	1	0	0
GQ500799.1.1497	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
FJ612147.1.1493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	0
FJ382059.1.1209	0	0	0	0	0	0	1	2	1	114	0	0	0	2	8	9	4	0	0	0	0	10	0	3	2	0
AB199569.1.1459	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0
EU801715.1.1271	0	0	0	0	1	0	0	0	31	25	9	16	0	0	0	0	0	0	0	22	13	0	0	0	0	17
FJ612158.1.1443	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KF097628.1.1345	0	0	0	0	0	0	0	0	0	0	0	0	481	0	0	0	0	0	0	0	0	0	0	0	0	0
GU208444.1.1502	0	0	0	0	0	0	2	4	0	0	0	0	0	7	6	0	5	0	0	0	0	1	0	1	4	0
AB990448.1.1459	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JX222019.1.1499	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AY752098.1.1391	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FM201052.1.1344	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJ575701.1.1473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0
HM129614.1.1455	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	1	1	0
EF632770.1.1473	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	108	0	0	0	0	0	0	9	0	0	0
HE574373.1.1890	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
