from	to	edge	from_name	to_name	Dcorr	Dpval	sE_corr	Pcorr	Ppval	type	av_corr	edge_corr_val
59	101	59to101	HM856571.1.1445	EU803786.1.1256	0.545454545	4.98835E-11	NA	0.918711592	1.01E-09	co	0.732083069	0.5
60	101	60to101	EU803460.1.1447	EU803786.1.1256	0.555555556	1.71727E-11	NA	0.823542877	0.00000462	co	0.689549217	0.5
61	65	61to65	AY250093.1.1455	FR774626.1.1366	0.615384615	1.64496E-14	NA	0.794803955	0.0000207	co	0.705094285	0.5
61	90	61to90	AY250093.1.1455	FM161354.1.1520	0.516129032	1.03037E-09	NA	0.87251019	0.00000014	co	0.694319611	0.5
61	91	61to91	AY250093.1.1455	GU208444.1.1502	0.608695652	3.16005E-14	NA	0.584509434	0.019492228	co	0.596602543	0.5
63	81	63to81	HQ178852.1.1434	FJ612158.1.1443	0.666666667	0	NA	1	0	co	0.833333334	0.5
63	98	63to98	HQ178852.1.1434	FM201052.1.1344	0.666666667	0	NA	1	0	co	0.833333334	0.5
67	80	67to80	EU801144.1.1494	AB753922.1.1459	0.666666667	0	NA	1	0	co	0.833333334	0.5
67	92	67to92	EU801144.1.1494	JX521012.1.1454	0.666666667	0	NA	1	0	co	0.833333334	0.5
68	72	68to72	KT350432.1.1533	GQ500799.1.1497	0.5	3.46348E-09	NA	0.969610172	2.02E-14	co	0.734805086	0.5
70	91	70to91	JQ923537.1.1499	GU208444.1.1502	0.571428571	2.91213E-12	NA	0.66318947	0.002804128	co	0.617309021	0.5
72	94	72to94	GQ500799.1.1497	JX222019.1.1499	0.5	3.46348E-09	NA	0.969610172	2.02E-14	co	0.734805086	0.5
76	95	76to95	EU803376.1.1258	EU803732.1.1421	0.5	3.46348E-09	NA	0.864118968	0.000000276	co	0.682059484	0.5
76	101	76to101	EU803376.1.1258	EU803786.1.1256	0.555555556	1.71727E-11	NA	0.787778639	0.0000295	co	0.671667098	0.5
77	78	77to78	GU574353.1.1321	JX015603.1.1441	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
77	84	77to84	GU574353.1.1321	KF441562.1.1494	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
77	85	77to85	GU574353.1.1321	AB806518.1.1446	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
77	89	77to89	GU574353.1.1321	AB021390.1.1508	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
78	96	78to96	JX015603.1.1441	KF010745.1.1485	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
82	100	82to100	FN421585.1.1365	GQ388901.1.1482	0.666666667	0	NA	1	0	co	0.833333334	0.5
83	84	83to84	FN668268.1.1474	KF441562.1.1494	0.5	3.46348E-09	NA	0.947472912	8.45E-12	co	0.723736456	0.5
85	89	85to89	AB806518.1.1446	AB021390.1.1508	0.666666667	0	NA	1	0	co	0.833333334	0.5
89	96	89to96	AB021390.1.1508	KF010745.1.1485	0.5	3.46348E-09	NA	0.692820323	0.001198884	co	0.596410162	0.5
90	91	90to91	FM161354.1.1520	GU208444.1.1502	0.516129032	1.03037E-09	NA	0.841700995	0.00000148	co	0.678915014	0.5
95	101	95to101	EU803732.1.1421	EU803786.1.1256	0.588235294	4.37945E-13	NA	0.813792839	0.00000796	co	0.701014067	0.5
3	10	3to10	EU801039.1.1483	EU705057.1.1276	NA	NA	0.137527757	0.903717312	6.61E-09	co	0.520622535	0.5
3	21	3to21	EU801039.1.1483	HM263347.1.1344	NA	NA	0.001497322	0.994921537	0	co	0.49820943	0.5
19	29	19to29	HQ230144.1.1457	GQ059663.1.1344	NA	NA	0.179385176	0.990587817	0	co	0.584986497	0.5
28	49	28to49	FN668259.1.1474	FN668262.1.1467	NA	NA	0.282126299	0.97572228	0	co	0.62892429	0.5
25	50	25to50	JX221982.1.1396	AY212596.1.1287	NA	NA	0.005749362	0.581942105	0.02031332	co	0.293845734	0.5
25	62	25to62	JX221982.1.1396	HG917444.1.1444	NA	NA	0.197108261	0.833226319	0.00000259	co	0.51516729	0.5
40	64	40to64	HM129561.1.1443	FJ502260.1.1488	NA	NA	0.483578765	0.999936533	0	co	0.741757649	0.5
25	73	25to73	JX221982.1.1396	FJ612147.1.1493	NA	NA	0.015840048	0.691493602	0.001249572	co	0.353666825	0.5
38	74	38to74	HM186088.1.1298	FJ382059.1.1209	NA	NA	0.27719753	0.993363724	0	co	0.635280627	0.5
57	75	57to75	AB252076.1.1805	AB199569.1.1459	NA	NA	0.108868981	0.816908558	0.00000681	co	0.46288877	0.5
13	76	13to76	EU800571.1.1447	EU803376.1.1258	NA	NA	0.141971009	0.97980883	0	co	0.56088992	0.5
5	79	5to79	KC286854.1.1505	EU801715.1.1271	NA	NA	0.457563653	0.890964598	0.000000025	co	0.674264126	0.5
66	87	66to87	JF139490.1.1343	AUSH02000015.468.1961	NA	NA	0.203153075	0.896183524	1.52E-08	co	0.5496683	0.5
6	88	6to88	JX448570.1.1261	GU305856.1.1443	NA	NA	0.441038694	0.985887506	0	co	0.7134631	0.5
47	99	47to99	HM638233.1.1390	AJ575701.1.1473	NA	NA	0.175883038	0.967078549	4E-14	co	0.571480794	0.5
