from	to	edge	from_name	to_name	Dcorr	Dpval	sE_corr	Pcorr	Ppval	type	av_corr	edge_corr_val
6	95	6to95	JX448570.1.1261	EU803732.1.1421	0.588235294	4.37945E-13	0.110736298	0.9621646	2.05E-13	co	0.553712064	0.5
6	101	6to101	JX448570.1.1261	EU803786.1.1256	0.666666667	0	0.03350251	0.856648343	0.000000497	co	0.518939173	0.5
7	45	7to45	FQ658557.1.1361	AEMH01007120.1017.2392	0.666666667	0	0.10535703	1	0	co	0.590674566	0.5
8	44	8to44	HM346776.1.1224	JF697432.1.1492	0.636363636	0	0.323732328	0.748799623	0.000164469	co	0.569631862	0.5
9	22	9to22	KC683060.1.1482	HM016168.1.1389	0.666666667	0	0.157165295	1	0	co	0.607943987	0.5
9	30	9to30	KC683060.1.1482	HQ111526.1.1402	0.666666667	0	0.512482058	1	0	co	0.726382908	0.5
11	21	11to21	JX221823.1.1478	HM263347.1.1344	0.545454545	4.98835E-11	0.485777523	0.999029218	0	co	0.676753762	0.5
12	63	12to63	HQ178716.1.1411	HQ178852.1.1434	0.666666667	0	0.206353573	1	0	co	0.62434008	0.5
13	18	13to18	EU800571.1.1447	JN869030.1.1506	0.571428571	2.91213E-12	0.156548181	0.937819869	5.46E-11	co	0.55526554	0.5
13	83	13to83	EU800571.1.1447	FN668268.1.1474	0.666666667	0	0.115431712	0.604427819	0.012478327	co	0.462175399	0.5
14	38	14to38	JX949883.1.1372	HM186088.1.1298	0.571428571	2.91213E-12	0.480839503	0.989514171	0	co	0.680594082	0.5
15	72	15to72	JN869113.1.1505	GQ500799.1.1497	0.571428571	2.91213E-12	0.212602793	0.948759323	6.45E-12	co	0.577596896	0.5
17	42	17to42	FJ976563.1.1391	JF118092.1.1357	0.666666667	0	0.516706976	1	0	co	0.727791214	0.5
17	82	17to82	FJ976563.1.1391	FN421585.1.1365	0.666666667	0	0.347701239	1	0	co	0.671455969	0.5
17	100	17to100	FJ976563.1.1391	GQ388901.1.1482	0.666666667	0	0.300498343	1	0	co	0.65572167	0.5
18	26	18to26	JN869030.1.1506	JN868973.1.1510	0.666666667	0	0.268735394	0.956573405	1.01E-12	co	0.630658489	0.5
18	49	18to49	JN869030.1.1506	FN668262.1.1467	0.6	1.04419E-13	0.180703621	0.934491005	9.38E-11	co	0.571731542	0.5
18	83	18to83	JN869030.1.1506	FN668268.1.1474	0.571428571	2.91213E-12	0.062722882	0.79186437	0.000024	co	0.475338608	0.5
22	63	22to63	HM016168.1.1389	HQ178852.1.1434	0.666666667	0	0.310381206	1	0	co	0.659015958	0.5
23	37	23to37	FN396954.1.1256	JX304649.1.1325	0.545454545	4.98835E-11	0.494953114	0.97902823	0	co	0.673145296	0.5
24	57	24to57	JQ684482.1.1407	AB252076.1.1805	0.555555556	1.71727E-11	0.040722444	0.805771126	0.0000118	co	0.467349709	0.5
24	61	24to61	JQ684482.1.1407	AY250093.1.1455	0.555555556	1.71727E-11	0.144690583	0.879764561	7.34E-08	co	0.526670233	0.5
24	62	24to62	JQ684482.1.1407	HG917444.1.1444	0.571428571	2.91213E-12	0.065864053	NA	NA	co	0.318646312	0.5
24	102	24to102	JQ684482.1.1407	HM129614.1.1455	0.571428571	2.91213E-12	0.127657262	0.551324877	0.037276908	co	0.41680357	0.5
26	59	26to59	JN868973.1.1510	HM856571.1.1445	0.666666667	0	0.433295852	0.936050467	7.44E-11	co	0.678670995	0.5
27	36	27to36	HQ178879.1.1433	HM481364.1.1461	0.5	3.46348E-09	0.010335193	0.608535544	0.011337298	co	0.372956912	0.5
27	102	27to102	HQ178879.1.1433	HM129614.1.1455	0.571428571	2.91213E-12	0.050486748	0.544589474	0.042388401	co	0.388834931	0.5
28	88	28to88	FN668259.1.1474	GU305856.1.1443	0.5	3.46348E-09	0.013425219	0.773331322	0.0000563	co	0.428918847	0.5
29	96	29to96	GQ059663.1.1344	KF010745.1.1485	0.5	3.46348E-09	0.241555843	0.692820323	0.001198884	co	0.478125389	0.5
32	58	32to58	GU305742.1.1480	JN869123.1.1501	0.5	3.46348E-09	0.295891429	0.890909091	0.000000025	co	0.56226684	0.5
33	67	33to67	EU800554.1.1494	EU801144.1.1494	0.666666667	0	0.516706976	1	0	co	0.727791214	0.5
34	93	34to93	FR667253.1.1384	AB990448.1.1459	0.666666667	0	0.497758308	1	0	co	0.721474992	0.5
35	47	35to47	FR772057.1.1466	HM638233.1.1390	0.571428571	2.91213E-12	0.279006559	0.999661174	0	co	0.616698768	0.5
