phylum	run4.1	run4.10	run4.100	run4.101	run4.102	run4.103	run4.104	run4.105	run4.106	run4.107	run4.108	run4.109	run4.11	run4.110	run4.111	run4.112	run4.113	run4.114	run4.115	run4.116	run4.117	run4.118	run4.119	run4.12	run4.120	run4.121	run4.122	run4.123	run4.124	run4.125	run4.126	run4.127	run4.128	run4.129	run4.13	run4.130	run4.131	run4.132	run4.133	run4.134	run4.135	run4.136	run4.138	run4.139	run4.14	run4.140	run4.141	run4.142	run4.143	run4.144	run4.145	run4.146	run4.147	run4.148	run4.149	run4.15	run4.150	run4.151	run4.152	run4.153	run4.154	run4.155	run4.156	run4.157	run4.158	run4.159	run4.16	run4.160	run4.161	run4.162	run4.163	run4.164	run4.165	run4.166	run4.167	run4.168	run4.169	run4.17	run4.170	run4.171	run4.172	run4.173	run4.174	run4.176	run4.177	run4.178	run4.179	run4.18	run4.180	run4.181	run4.182	run4.183	run4.184	run4.185	run4.186	run4.187	run4.188	run4.189	run4.190	run4.191	run4.192	run4.193	run4.194	run4.195	run4.196	run4.197	run4.199	run4.2	run4.20	run4.200	run4.202	run4.203	run4.204	run4.205	run4.21	run4.22	run4.23	run4.24	run4.25	run4.26	run4.27	run4.28	run4.29	run4.3	run4.30	run4.31	run4.32	run4.33	run4.34	run4.35	run4.36	run4.37	run4.38	run4.39	run4.4	run4.40	run4.41	run4.42	run4.43	run4.44	run4.45	run4.46	run4.47	run4.48	run4.49	run4.5	run4.50	run4.51	run4.52	run4.53	run4.54	run4.55	run4.56	run4.57	run4.58	run4.59	run4.6	run4.60	run4.62	run4.63	run4.64	run4.65	run4.66	run4.67	run4.68	run4.69	run4.7	run4.70	run4.71	run4.72	run4.73	run4.74	run4.75	run4.76	run4.77	run4.78	run4.79	run4.8	run4.80	run4.81	run4.82	run4.83	run4.84	run4.85	run4.86	run4.87	run4.88	run4.89	run4.9	run4.90	run4.91	run4.92	run4.93	run4.94	run4.95	run4.96	run4.97	run4.98	run4.99	S10a	S11a	S13a	S14a	S15a	S16a	S17a	S18a	S19a	S1a	S20a	S21a	S22a	S23a	S24a	S25a	S26a	S27a	S2a	S3a	S45a	S46a	S47a	S48a	S49a	S4a	S50a	S51a	S5a	S6a	S7a	S8a	S9a
k__Bacteria;p__OP3	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.002	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.001333333	0	0.000666667	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.001333333	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0.000666667	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0.001333333	0.001333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0	0.001333333	0.000666667	0	0.000666667	0.000666667	0.000666667	0.001333333	0	0.001333333	0	0.000666667	0.002666667	0.000666667	0.000666667	0.000666667	0.003333333	0	0.000666667	0	0	0.000666667
k__Bacteria;p__OP8	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Planctomycetes	0.019333333	0.018	0.008666667	0.013333333	0.008666667	0.016666667	0.001333333	0.074666667	0.012	0.066666667	0.006	0.012666667	0.02	0.006	0.016	0.016666667	0.008	0.006666667	0.008666667	0.023333333	0.043333333	0.016	0.006666667	0.001333333	0.061333333	0.038666667	0.014666667	0.003333333	0.092666667	0.020666667	0.001333333	0.004	0.005333333	0.006	0.009333333	0.002666667	0.004	0.008666667	0.002666667	0.002666667	0.002666667	0.002	0.003333333	0.000666667	0.172	0.000666667	0.002666667	0.001333333	0.001333333	0.008666667	0.002666667	0.002	0.006666667	0.008	0.003333333	0.014	0.009333333	0.008	0.007333333	0.003333333	0.002666667	0.01	0.023333333	0.012666667	0.01	0.015333333	0.008666667	0.001333333	0.038666667	0.021333333	0.026666667	0.029333333	0.014666667	0.014666667	0.007333333	0.014	0.025333333	0.015333333	0.015333333	0.032666667	0.058666667	0.027333333	0.03	0.017333333	0.008666667	0	0.021333333	0.002	0.038666667	0.042666667	0	0.029333333	0.001333333	0.01	0.001333333	0.002666667	0.007333333	0.03	0.006	0.004	0.000666667	0.000666667	0.016	0.002	0.002	0.004	0.008666667	0.028	0.016666667	0.004	0.001333333	0.006666667	0.003333333	0.002	0.041333333	0.093333333	0.001333333	0.018	0.03	0.002	0.003333333	0.008666667	0.007333333	0.084	0.003333333	0.008	0.006	0.035333333	0.012666667	0.027333333	0.006	0.025333333	0.023333333	0.003333333	0.025333333	0.014666667	0.010666667	0.003333333	0.02	0.006666667	0.094666667	0.012666667	0.004	0.008666667	0.004	0.007333333	0.008666667	0.077333333	0.01	0.008	0.006666667	0.008666667	0.014666667	0.01	0.002	0.112666667	0.164666667	0.012666667	0.004666667	0.006666667	0.034	0.01	0.078	0.004666667	0.008	0.004	0.016666667	0.038666667	0.046666667	0.02	0.001333333	0.008	0.004666667	0.003333333	0.039333333	0.023333333	0.001333333	0.005333333	0.014666667	0.004	0.089333333	0.088666667	0.004	0.008	0.008	0.014	0.062666667	0.008	0.001333333	0.032666667	0.003333333	0.002666667	0.05	0.052	0.01	0.006666667	0.1	0.002666667	0.044666667	0.015333333	0.002	0.006666667	0	0.009333333	0.002	0.002666667	0.009333333	0.010666667	0.003333333	0.020666667	0.011333333	0.023333333	0.013333333	0.027333333	0.015333333	0.015333333	0.011333333	0.012	0.009333333	0.015333333	0.02	0.024	0.023333333	0.03	0.020666667	0.017333333	0.020666667	0.010666667	0.014666667	0.022666667	0.02	0.022666667
k__Bacteria;p__Proteobacteria	0.255333333	0.186666667	0.110666667	0.152666667	0.089333333	0.068666667	0.086	0.245333333	0.110666667	0.224	0.164	0.306	0.156666667	0.188666667	0.092	0.126666667	0.19	0.178666667	0.127333333	0.176	0.190666667	0.212666667	0.202666667	0.204	0.155333333	0.110666667	0.105333333	0.598666667	0.359333333	0.108	0.21	0.058	0.062666667	0.084	0.171333333	0.324	0.413333333	0.126	0.042	0.075333333	0.066	0.034666667	0.044666667	0.024	0.268	0.046	0.066	0.066	0.046	0.15	0.128	0.051333333	0.094666667	0.131333333	0.085333333	0.207333333	0.048666667	0.128666667	0.111333333	0.098	0.100666667	0.116666667	0.124666667	0.129333333	0.083333333	0.159333333	0.14	0.069333333	0.195333333	0.161333333	0.114666667	0.216	0.183333333	0.140666667	0.133333333	0.102666667	0.219333333	0.176	0.172	0.207333333	0.209333333	0.208666667	0.115333333	0.16	0.135333333	0.072	0.173333333	0.119333333	0.174666667	0.246	0.078	0.157333333	0.092666667	0.112	0.060666667	0.037333333	0.090666667	0.121333333	0.045333333	0.087333333	0.076	0.065333333	0.118	0.050666667	0.044	0.062666667	0.176	0.225333333	0.104666667	0.081333333	0.052666667	0.106	0.071333333	0.113333333	0.256666667	0.158666667	0.219333333	0.120666667	0.243333333	0.214	0.124	0.153333333	0.089333333	0.278	0.163333333	0.100666667	0.182	0.282	0.132	0.253333333	0.168	0.163333333	0.186	0.218666667	0.242666667	0.142666667	0.136	0.145333333	0.202666667	0.225333333	0.305333333	0.129333333	0.132	0.216	0.198	0.131333333	0.102	0.254	0.147333333	0.113333333	0.12	0.09	0.196666667	0.204666667	0.091333333	0.307333333	0.273333333	0.21	0.195333333	0.111333333	0.208	0.161333333	0.210666667	0.066	0.09	0.102666667	0.166	0.178	0.256666667	0.175333333	0.089333333	0.143333333	0.228	0.104666667	0.2	0.129333333	0.140666667	0.16	0.2	0.103333333	0.22	0.268666667	0.152	0.074666667	0.240666667	0.210666667	0.192666667	0.121333333	0.159333333	0.145333333	0.252	0.093333333	0.255333333	0.190666667	0.214666667	0.394666667	0.192	0.474	0.116	0.227333333	0.230666667	0.255333333	0.168666667	0.273333333	0.230666667	0.227333333	0.211333333	0.260666667	0.198666667	0.183333333	0.225333333	0.198666667	0.172666667	0.194	0.184	0.192	0.222666667	0.175333333	0.185333333	0.266666667	0.300666667	0.307333333	0.283333333	0.41	0.134666667	0.481333333	0.376666667	0.118666667	0.193333333	0.224	0.172	0.244
k__Bacteria;p__SC4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__SR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__Spirochaetes	0	0	0	0.000666667	0	0	0.000666667	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0.001333333	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0.000666667	0	0	0.000666667	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0.000666667	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0	0.002	0	0	0	0	0	0	0	0
k__Bacteria;p__TM6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0.001333333	0.004	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0
k__Bacteria;p__TM7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0	0	0	0.000666667
k__Bacteria;p__Verrucomicrobia	0.040666667	0.062	0.053333333	0.22	0.046666667	0.228666667	0.125333333	0.068666667	0.042666667	0.044666667	0.069333333	0.034	0.042	0.144666667	0.032666667	0.016666667	0.135333333	0.111333333	0.443333333	0.061333333	0.02	0.064666667	0.076666667	0.087333333	0.018666667	0.014666667	0.01	0.001333333	0.023333333	0.009333333	0.007333333	0.002666667	0.006	0.005333333	0.139333333	0.004666667	0.002666667	0.017333333	0.004666667	0.003333333	0.003333333	0.004666667	0.008666667	0.009333333	0.050666667	0.161333333	0.28	0.305333333	0.01	0.195333333	0.088666667	0.184	0.118	0.157333333	0.054	0.057333333	0.034	0.063333333	0.158666667	0.08	0.024666667	0.033333333	0.045333333	0.04	0.032	0.07	0.042	0.086	0.034	0.043333333	0.046666667	0.060666667	0.073333333	0.04	0.036	0.049333333	0.022	0.052	0.011333333	0.016666667	0.026	0.027333333	0.016	0.017333333	0.003333333	0.001333333	0.006666667	0.13	0.02	0.021333333	0.000666667	0.016	0.002	0.007333333	0.003333333	0.000666667	0.002	0.004	0.001333333	0.006	0.006666667	0.042	0.022	0.014	0.006	0.015333333	0.032	0.087333333	0.048	0.028666667	0.027333333	0.027333333	0.017333333	0.052666667	0.044	0.024	0.018	0.018	0.045333333	0.082	0.052	0.182	0.009333333	0.049333333	0.021333333	0.025333333	0.064	0.042666667	0.038666667	0.051333333	0.075333333	0.168	0.036	0.058666667	0.030666667	0.032	0.118	0.057333333	0.033333333	0.036	0.022	0.133333333	0.048666667	0.132666667	0.092666667	0.026666667	0.054666667	0.036666667	0.059333333	0.085333333	0.034	0.028	0.042	0.034	0.026	0.040666667	0.039333333	0.044	0.089333333	0.084666667	0.019333333	0.029333333	0.026666667	0.042	0.042	0.070666667	0.222	0.042666667	0.020666667	0.018	0.044	0.176	0.076	0.026666667	0.066666667	0.117333333	0.062	0.078666667	0.049333333	0.028	0.066666667	0.055333333	0.088666667	0.016	0.053333333	0.03	0.076	0.072666667	0.070666667	0.111333333	0.083333333	0.275333333	0.075333333	0.026	0.052	0.019333333	0.028666667	0.012	0.277333333	0.022	0.018666667	0.023333333	0.016666667	0.036	0.031333333	0.11	0.046	0.038	0.122	0.048	0.056	0.072666667	0.080666667	0.061333333	0.07	0.052	0.024	0.274666667	0.191333333	0.054	0.054	0.026666667	0.125333333	0.096666667	0.372	0.043333333	0.080666667	0.359333333	0.226	0.168666667	0.076666667	0.096666667
k__Bacteria;p__WPS-2	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0.000666667	0	0	0	0	0
k__Bacteria;p__WS3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__WS4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__ZB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria;p__[Thermi]	0.004	0.000666667	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0	0.001333333	0	0	0	0.000666667	0.001333333	0	0	0	0.000666667	0	0.001333333	0.001333333	0.001333333	0	0	0.000666667	0	0	0.000666667	0.000666667	0.002666667	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0.001333333	0	0	0	0	0.000666667	0.000666667	0	0	0.000666667	0	0	0	0	0	0.000666667	0.000666667	0	0	0	0.001333333	0	0	0	0	0	0	0.000666667	0	0	0.001333333	0	0	0.000666667	0	0.000666667	0	0.000666667	0	0	0	0	0	0	0	0	0.000666667	0.002666667	0	0.000666667	0.002666667	0.000666667	0.001333333	0	0.000666667	0.000666667	0	0.002666667	0.001333333	0.002	0.000666667	0.000666667	0.000666667	0	0	0	0.002666667	0	0.000666667	0	0	0	0.002	0	0	0.000666667	0	0.000666667	0	0	0	0	0.000666667	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004666667	0	0	0	0.001333333	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002666667	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0.000666667	0.000666667	0.001333333	0	0	0	0	0	0	0	0	0.000666667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
