SUID,edge,from,to,av_corr,interaction,name,phydist,from_genus,from_col,to_genus,to_col,from_phyla,to_phyla,from_phyla_col,to_phyla_col
1748,7to17,FQ658557.1.1361,FJ976563.1.1391,NA,co,FQ658557.1.1361 (co) FJ976563.1.1391,NA,Chitinophagaceae,NA,Acinetobacter,NA,Bacteroidetes,Proteobacteria,NA,NA
1750,7to82,FQ658557.1.1361,FN421585.1.1365,NA,co,FQ658557.1.1361 (co) FN421585.1.1365,NA,Chitinophagaceae,NA,Sphingomonas,NA,Bacteroidetes,Proteobacteria,NA,NA
1751,7to100,FQ658557.1.1361,GQ388901.1.1482,NA,co,FQ658557.1.1361 (co) GQ388901.1.1482,NA,Chitinophagaceae,NA,Sphingomonadaceae,NA,Bacteroidetes,Proteobacteria,NA,NA
1801,42to82,JF118092.1.1357,FN421585.1.1365,NA,co,JF118092.1.1357 (co) FN421585.1.1365,NA,Chitinophagaceae,NA,Sphingomonas,NA,Bacteroidetes,Proteobacteria,NA,NA
1802,42to100,JF118092.1.1357,GQ388901.1.1482,NA,co,JF118092.1.1357 (co) GQ388901.1.1482,NA,Chitinophagaceae,NA,Sphingomonadaceae,NA,Bacteroidetes,Proteobacteria,NA,NA
1700,4to7,GABT01019963.848.2718,FQ658557.1.1361,NA,co,GABT01019963.848.2718 (co) FQ658557.1.1361,NA,Streptophyta,NA,Chitinophagaceae,NA,Cyanobacteria-chloroplast,Bacteroidetes,NA,NA
1702,4to42,GABT01019963.848.2718,JF118092.1.1357,NA,co,GABT01019963.848.2718 (co) JF118092.1.1357,NA,Streptophyta,NA,Chitinophagaceae,NA,Cyanobacteria-chloroplast,Bacteroidetes,NA,NA
1699,4to45,GABT01019963.848.2718,AEMH01007120.1017.2392,NA,co,GABT01019963.848.2718 (co) AEMH01007120.1017.2392,NA,Streptophyta,NA,Streptophyta,NA,Cyanobacteria-chloroplast,Cyanobacteria-chloroplast,NA,NA
1701,4to17,GABT01019963.848.2718,FJ976563.1.1391,NA,co,GABT01019963.848.2718 (co) FJ976563.1.1391,NA,Streptophyta,NA,Acinetobacter,NA,Cyanobacteria-chloroplast,Proteobacteria,NA,NA
1703,4to82,GABT01019963.848.2718,FN421585.1.1365,NA,co,GABT01019963.848.2718 (co) FN421585.1.1365,NA,Streptophyta,NA,Sphingomonas,NA,Cyanobacteria-chloroplast,Proteobacteria,NA,NA
1704,4to100,GABT01019963.848.2718,GQ388901.1.1482,NA,co,GABT01019963.848.2718 (co) GQ388901.1.1482,NA,Streptophyta,NA,Sphingomonadaceae,NA,Cyanobacteria-chloroplast,Proteobacteria,NA,NA
1721,45to82,AEMH01007120.1017.2392,FN421585.1.1365,NA,co,AEMH01007120.1017.2392 (co) FN421585.1.1365,NA,Streptophyta,NA,Sphingomonas,NA,Cyanobacteria-chloroplast,Proteobacteria,NA,NA
1722,45to100,AEMH01007120.1017.2392,GQ388901.1.1482,NA,co,AEMH01007120.1017.2392 (co) GQ388901.1.1482,NA,Streptophyta,NA,Sphingomonadaceae,NA,Cyanobacteria-chloroplast,Proteobacteria,NA,NA
1797,17to42,FJ976563.1.1391,JF118092.1.1357,NA,co,FJ976563.1.1391 (co) JF118092.1.1357,NA,Acinetobacter,NA,Chitinophagaceae,NA,Proteobacteria,Bacteroidetes,NA,NA
1800,17to45,FJ976563.1.1391,AEMH01007120.1017.2392,NA,co,FJ976563.1.1391 (co) AEMH01007120.1017.2392,NA,Acinetobacter,NA,Streptophyta,NA,Proteobacteria,Cyanobacteria-chloroplast,NA,NA
1798,17to82,FJ976563.1.1391,FN421585.1.1365,NA,co,FJ976563.1.1391 (co) FN421585.1.1365,NA,Acinetobacter,NA,Sphingomonas,NA,Proteobacteria,Proteobacteria,NA,NA
1799,17to100,FJ976563.1.1391,GQ388901.1.1482,NA,co,FJ976563.1.1391 (co) GQ388901.1.1482,NA,Acinetobacter,NA,Sphingomonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
1804,82to100,FN421585.1.1365,GQ388901.1.1482,NA,co,FN421585.1.1365 (co) GQ388901.1.1482,NA,Sphingomonas,NA,Sphingomonadaceae,NA,Proteobacteria,Proteobacteria,NA,NA
1710,13to45,EU800571.1.1447,AEMH01007120.1017.2392,0.717328764,co,EU800571.1.1447 (co) AEMH01007120.1017.2392,0.50813,CaFonsibacter,palegreen1,Streptophyta,palegreen1,Proteobacteria,Cyanobacteria-chloroplast,paleturquoise1,palegreen1
1697,4to13,GABT01019963.848.2718,EU800571.1.1447,0.503604569,co,GABT01019963.848.2718 (co) EU800571.1.1447,0.40544,Streptophyta,palegreen1,CaFonsibacter,turquoise1,Cyanobacteria-chloroplast,Proteobacteria,palegreen1,paleturquoise1
1711,13to49,EU800571.1.1447,FN668262.1.1467,0.648129961,co,EU800571.1.1447 (co) FN668262.1.1467,0.50584,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1705,13to18,EU800571.1.1447,JN869030.1.1506,0.55526554,co,EU800571.1.1447 (co) JN869030.1.1506,0.67568,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1706,13to83,EU800571.1.1447,FN668268.1.1474,0.462175399,co,EU800571.1.1447 (co) FN668268.1.1474,0.63666,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1708,13to26,EU800571.1.1447,JN868973.1.1510,0.736816321,co,EU800571.1.1447 (co) JN868973.1.1510,0.50824,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1732,6to59,JX448570.1.1261,HM856571.1.1445,0.676860788,co,JX448570.1.1261 (co) HM856571.1.1445,0.50588,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1879,54to59,EU800360.1.1446,HM856571.1.1445,0.696339894,co,EU800360.1.1446 (co) HM856571.1.1445,0.40505,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1712,13to59,EU800571.1.1447,HM856571.1.1445,0.646976273,co,EU800571.1.1447 (co) HM856571.1.1445,0.50587,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1729,6to26,JX448570.1.1261,JN868973.1.1510,0.739425838,co,JX448570.1.1261 (co) JN868973.1.1510,0.40576,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1738,53to59,JQ941843.1.1364,HM856571.1.1445,0.731821817,co,JQ941843.1.1364 (co) HM856571.1.1445,0.00345,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1730,6to49,JX448570.1.1261,FN668262.1.1467,0.656343658,co,JX448570.1.1261 (co) FN668262.1.1467,0.00326,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1728,6to18,JX448570.1.1261,JN869030.1.1506,0.719158709,co,JX448570.1.1261 (co) JN869030.1.1506,0.67279,CaFonsibacter,plum1,Nanopelagicus,plum1,Proteobacteria,Actinobacteria,paleturquoise1,purple3
1790,18to54,JN869030.1.1506,EU800360.1.1446,0.745510954,co,JN869030.1.1506 (co) EU800360.1.1446,0.6735,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1835,59to101,HM856571.1.1445,EU803786.1.1256,0.732083069,co,HM856571.1.1445 (co) EU803786.1.1256,0.00498,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1810,26to54,JN868973.1.1510,EU800360.1.1446,0.727922386,co,JN868973.1.1510 (co) EU800360.1.1446,0.00498,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1813,26to101,JN868973.1.1510,EU803786.1.1256,0.718277794,co,JN868973.1.1510 (co) EU803786.1.1256,0.00498,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1792,18to101,JN869030.1.1506,EU803786.1.1256,0.743611497,co,JN869030.1.1506 (co) EU803786.1.1256,0,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1841,28to88,FN668259.1.1474,GU305856.1.1443,0.428918847,co,FN668259.1.1474 (co) GU305856.1.1443,0.00723,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1821,49to101,FN668262.1.1467,EU803786.1.1256,0.714988435,co,FN668262.1.1467 (co) EU803786.1.1256,0.52212,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1809,26to53,JN868973.1.1510,JQ941843.1.1364,0.738505281,co,JN868973.1.1510 (co) JQ941843.1.1364,0.50756,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1820,49to88,FN668262.1.1467,GU305856.1.1443,0.660257111,co,FN668262.1.1467 (co) GU305856.1.1443,0.50996,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
1789,18to53,JN869030.1.1506,JQ941843.1.1364,0.718278128,co,JN869030.1.1506 (co) JQ941843.1.1364,0.00498,Nanopelagicus,plum1,CaFonsibacter,turquoise1,Actinobacteria,Proteobacteria,purple3,paleturquoise1
