sample	Accession	collection_date	depth_m	Stratification	season	Layer	seq_shape	year	av_depth	secchi_m	pH	Alk_mekw_per_L	Cond_mS_per_m	Col_mgPt_per_L	turbidity_FNU_EV26	TotP_ug_per_L	NH4_ug_per_L	NO2andNO3_ug_per_L	PN_ug_per_L	TotN_ug_per_L	Si_ug_per_L	Temp_C	Chla_ug_per_L	PP_ug_per_L	SPOM_mg_per_L	O2pcnt	SPM_mg_per_L	MRP_per_PO4P_ug_per_L	NO2_ug_per_L	NO3_ug_per_L	Abs_per_ofiltrerat_per__420_per_nm_per_5cm	Abs_per_filtrerad_per__420_per_nm_per_5cm	O2_mg_L	LD12	acI	C111	Comamonadaceae	limnohab	flavo	luteo	Alcaligenaceae	polynuc	Chitinophagaceae	Ralstonia	Sphingomonas	synechococcus	nostocaceae	microcystis	haptophyceae	cryptophyta	streptphyt	stramenopiles	phytos
run4.30	ERS1884178	29/7/14	0-4	summer strat.	epi	epi	4	2014	2	3.4	8.77	1.701942857	26.4	20	1.1	20.39	6.3467	6.96	158.291	755.4	1098.6	24.74	11.72646	11.86916667	2.9	128.5	3.5	0.62	NA	NA	0.065	0.047	10.728	0.2	19.5333333	16.8666667	7.6666667	1.7333333	3.9333333	12.5333333	1.0666667	1.2666667	1.4666667	0	0	0	0	0	0	0.2666667	0	24.3333333	24.8666667
S10a	SRA	3/6/08	0-6	summer strat.	epi	epi	1	2008	3	6.5	8.05	1.72462	27.5	12.5	0.75	15	1	0.2	42.4138	604	292	16	1.35017	6.75862	0.6	101	1.8	1	0.1	0.1	0.044	0.036	NA	0	21	15.2666667	3.6666667	0.5333333	0.7333333	4.8	1.5333333	1.2	0.4	0	0	0	0	0	0	0.3333333	0	46.5333333	46.8666667
run4.179	ERS1884139	3/6/13	0-6	summer strat.	epi	epi	4	2013	3	3.16	8.25	1.894439024	26.5	30	0.81	15.29	5.194	1.75	63.24731034	646.473	137.908	16.28571429	2.19385	6.413103448	0.7	104	1.5	1.89	NA	NA	0.096	0.073	10.26285714	4.5333333	21.8666667	9.8666667	5.2666667	0.8666667	0.9333333	0.2666667	0.2666667	0.3333333	7.6	0	0	1.4666667	0.2666667	8.4666667	0.0666667	2.6666667	0	0.8	14.1333333
run4.182	ERS1884143	3/7/13	0-6	summer strat.	epi	epi	4	2013	3	5.9	8.12	1.859380645	26.6	30	0.66	14.28	7.055	2.175	35.37234483	646.4405	380.456	19.58571429	2.7753	6.429655172	1.1	97.75714286	1.2	2.18	NA	NA	0.075	0.066	9.001428571	0	22.6666667	16.4	1.7333333	0.6666667	0.8666667	2.8666667	0.8	0.6	0.2	0	0.0666667	0.0666667	0	0.0666667	0	0.6	0	47.8	48.6666667
run4.174	ERS1884134	30/5/13	0	summer strat.	epi	epi	4	2013	0	4.1	8.3	NA	NA	NA	NA	17.54	NA	-0.343	NA	655.661	NA	14.1	2.692536	NA	NA	104.4	NA	2.66	NA	NA	NA	NA	10.76	0.1333333	44.2	8.8666667	5.4666667	1	2.6666667	5	1.1333333	2	0.8	0	0.0666667	0.0666667	0	0.0666667	0	0.1333333	0	20.6666667	21.0666667
run4.176	ERS1884136	30/5/13	10.25	summer strat.	epi	epi	4	2013	10.25	4.1	8.3	NA	NA	NA	NA	17.54	NA	-0.343	NA	655.661	NA	12.3	2.692536	NA	NA	97.9	NA	2.66	NA	NA	NA	NA	10.49	0.0666667	24.2666667	20.2666667	4.6	1.0666667	4.0666667	12.4666667	1	0.8666667	1.2	0	0	0.0666667	0	0	0	0.2	0	18.9333333	19.2666667
run4.177	ERS1884137	30/5/13	0-10	summer strat.	epi	epi	4	2013	5	4.1	8.3	NA	NA	NA	NA	17.54	NA	-0.343	NA	655.661	NA	13.43636364	2.692536	NA	NA	101.5181818	NA	2.66	NA	NA	NA	NA	10.61	0.0666667	35.4666667	29.6	3.2666667	0.7333333	1.1333333	7.4	1.6666667	1.6	0.0666667	0	0	0	0	0	0	0.3333333	0	11.8	12.2666667
run4.54	ERS1884204	30/8/11	0-10	summer strat.	epi	epi	4	2011	5	3.34	7.72	1.73	27.8	15	1.32	32	2.4	0.7	66	679	665	18.8	5.22	8	1	88.34545455	2.4	15	0.1	0.6	NA	NA	8.183636364	0.3333333	53.8	12.9333333	3.4666667	0.9333333	1.3333333	1.6666667	1.2	1.5333333	0.6	0	0.0666667	0	0	0	0	0.2	0	15.2	15.4
S19a	SRA	31/7/08	0-14	summer strat.	epi	epi	1	2008	7	3.7	7.92	1.75055	26.7	12.5	2	33	41	22	67.7241	834	1608	18.9	4.19276	11.1724	0.6	80.4	0.9	12	2	20	0.063	0.033	NA	0.3333333	37.1333333	16.0666667	3.4	0.6	1.2666667	1.8	1.2666667	1.0666667	0.8666667	0	0.1333333	0	0	0	0	0.4666667	0	25.8666667	26.4666667
run4.104	ERS1884059	31/7/12	0-8	summer strat.	epi	epi	4	2012	4	3.1	8.38	1.740099623	26.6	17.5	1.95	24.14	25.5	4.2	179.5862069	793.5	1230	20.08888889	22.23192	11.82689655	3.1	112.2888889	4.2	1.52	0.084	4.116	NA	NA	10.14333333	0.0666667	29.4	29.6	3	0.8	2.5333333	3.0666667	2.2666667	1.6	0.6	0	0.0666667	0.0666667	0	0.0666667	0	0.3333333	0	14.8	15.4
