av_corr,phydist,primary
0.596410162,0.55349,MC_basal_fonsi_1_edge
0.596410162,0.92015,MC_basal_fonsi_1_edge
0.596410162,0.00922,MC_basal_fonsi_1_edge
0.554086806,0.34635,MC_basal_fonsi_1_edge
0.705625029,0.50821,MC_basal_fonsi_1_edge
0.596410162,0.38121,MC_basal_fonsi_1_edge
0.596410162,0.55496,MC_basal_fonsi_1_edge
0.685366913,0.92162,MC_basal_fonsi_1_edge
0.588760944,0.92162,MC_Planktop_1_edge
0.520622535,0.5869,MC_Planktop_1_edge
0.596410162,1.0007,MC_Planktop_1_edge
0.596410162,0.45421,MC_Planktop_1_edge
0.669470376,0.33926,MC_Planktop_1_edge
0.833333334,0.58879,MC_Planktop_1_edge
0.49820943,0.07485,MC_Planktop_1_edge
0.62892429,0.99184,MC_Nanopel_1_edge
0.761126354,0.9188,MC_Nanopel_1_edge
0.571731542,0.98948,MC_Nanopel_1_edge
0.773164184,0.02138,MC_Nanopel_1_edge
0.588760944,0.02378,MC_Nanopel_1_edge
0.781033825,0.02141,MC_Nanopel_1_edge
0.59411539,1.004,MC_Nanopel_1_edge
0.630658489,0.5204,MC_Nanopel_1_edge
0.640232353,0.5204,MC_Nanopel_1_edge
0.475338608,0.02142,MC_Nanopel_1_edge
0.678670995,0.52265,MC_Nanopel_1_edge
0.640697802,0.00686,MC_Nanopel_1_edge
0.642803646,0.98944,MC_Nanopel_1_edge
0.594725188,0.00922,MC_Nanopel_1_edge
0.685366913,0.50821,MC_Nanopel_1_edge
0.525230602,0.50584,MC_Nanopel_1_edge
0.696339894,0.50584,MC_Nanopel_1_edge
0.55526554,0.50968,MC_Nanopel_1_edge
0.736816321,0.00685,MC_Nanopel_1_edge
0.723736456,0.5869,MC_Nanopel_1_edge
0.646976273,0.50809,MC_Nanopel_1_edge
0.665441452,1.0007,MC_Nanopel_1_edge
0.719158709,0.51061,MC_Nanopel_1_edge
0.648129961,0.45421,MC_Nanopel_1_edge
0.676860788,0.50824,MC_Nanopel_1_edge
0.731821817,0.33926,MC_Nanopel_1_edge
0.656343658,0.00346,MC_Nanopel_1_edge
0.581600527,0.58879,MC_Nanopel_1_edge
0.462175399,0.50824,MC_Nanopel_1_edge
0.739425838,0.07485,MC_Nanopel_1_edge
0.604094021,0.51208,MC_Nanopel_1_edge
0.619137434,0.50635,MC_Nanopel_1_edge
0.723736456,0.00345,MC_Nanopel_1_edge
0.692295299,0.50782,MC_Nanopel_1_edge
0.597084681,0.50824,MC_Nanopel_1_edge
0.428918847,0.98656,MC_Nanopel_1_edge
0.685366913,0.51049,MC_Nanopel_1_edge
0.641804906,0.50479,MC_Nanopel_1_edge
0.732083069,0.98845,MC_Nanopel_1_edge
0.597084681,0.50972,MC_Nanopel_1_edge
0.727922386,0.5204,MC_Nanopel_1_edge
0.554086806,0.00109,MC_Nanopel_1_edge
0.718277794,0.50587,MC_Nanopel_1_edge
0.660257111,0.50813,MC_Nanopel_1_edge
0.738505281,0.50584,MC_Nanopel_1_edge
0.554086806,0.50824,MC_Nanopel_1_edge
0.714988435,0.50588,MC_Nanopel_1_edge
0.745510954,0.50587,MC_Nanopel_1_edge
0.718278128,0.00345,MC_Nanopel_1_edge
0.743611497,0.00326,MC_Nanopel_1_edge
0.763110077,0,TS_Cafonsi_1_edge
0.479305972,0,TS_Cafonsi_1_edge
0.3135853,0,TS_Cafonsi_1_edge
0.603330417,0.00326,TS_Cafonsi_1_edge
0.446461133,0.00326,TS_Cafonsi_1_edge
0.488349793,0.00443,TS_Cafonsi_1_edge
0.48196871,0.00443,TS_Cafonsi_1_edge
0.419112269,0.00498,TS_Cafonsi_1_edge
0.542786639,0.00498,TS_Cafonsi_1_edge
0.34813179,0.00498,TS_Cafonsi_1_edge
0.363565503,0.00498,TS_Cafonsi_1_edge
0.565477129,0.00498,TS_Cafonsi_1_edge
0.423831173,0.00498,TS_Cafonsi_1_edge
0.440219476,0.00498,TS_Cafonsi_1_edge
0.373057975,0.00498,TS_Cafonsi_1_edge
0.402791131,0.00551,TS_Cafonsi_1_edge
0.481134885,0.00723,TS_Cafonsi_1_edge
0.199839038,0.32648,TS_Cafonsi_1_edge
-0.278395365,0.35704,TS_Cafonsi_1_edge
-0.320772535,0.35704,TS_Cafonsi_1_edge
-0.168631543,0.35704,TS_Cafonsi_1_edge
